HIED_2011_data_flag,HIED_2012_data_flag,HIED_2013_data_flag,MADIP_ID_04,hied_2011_attendance_type,hied_2011_completion_field,hied_2011_completion_flag,hied_2011_field,hied_2011_level,hied_2012_attendance_type,hied_2012_completion_field,hied_2012_completion_flag,hied_2012_field,hied_2012_level,hied_2013_attendance_type,hied_2013_completion_field,hied_2013_completion_flag,hied_2013_field,hied_2013_level,hied_cob_2dig,hied_cob_ind,hied_disability_ind,hied_indigenous_ind,hied_language_ind,hied_2011_completion_course_type,hied_2012_completion_course_type,hied_2013_completion_course_type,hied_yr_arrival,gender
1,0,1,C1600001677,1,@@,0,100501,10,2,100505,1,100505,@@,1,60501,1,60501,@@,11,1,3,2,1,@@,@@,@@,@@@@,M
0,0,0,C1600001687,1,60300,1,60300,10,1,90101,1,90101,@@,1,40100,1,40100,10,51,1,3,2,1,10,@@,10,@@@@,M
0,1,1,C1600001752,2,30000,1,30000,@@,1,@@,0,80000,@@,1,60301,1,60301,@@,11,2,2,2,1,@@,@@,@@,@@@@,M
0,1,1,C1600001772,1,@@,0,91301,10,0,0,1,0,10,1,@@,0,90000,10,11,1,2,2,1,@@,@@,@@,@@@@,F
0,0,0,C1600001775,1,10900,1,10900,@@,2,40000,1,40000,@@,1,91901,1,91901,@@,11,1,3,2,1,@@,@@,@@,@@@@,F
0,0,1,C1600001778,1,@@,0,80000,10,1,@@,0,90901,@@,2,@@,0,100700,10,11,2,3,2,1,@@,@@,@@,1981,F
0,0,1,C1600001820,1,@@,0,10000,@@,1,60501,1,60501,7,2,@@,0,90399,10,11,1,2,2,1,@@,@@,@@,2005,M
1,0,1,C1600001825,1,61901,1,61901,60,1,@@,0,30303,10,2,70109,1,70109,@@,11,2,2,2,3,60,10,@@,@@@@,F
0,1,1,C1600001846,2,@@,0,80000,10,1,99900,1,99900,@@,2,@@,0,60300,@@,11,1,2,2,1,@@,@@,@@,@@@@,F
1,1,1,C1600001847,2,90900,1,90900,@@,2,@@,0,80399,@@,1,@@,0,39900,@@,11,1,2,2,3,@@,@@,@@,@@@@,F
0,0,1,C1600001873,2,80301,1,80301,10,2,@@,0,99900,@@,1,@@,0,90101,@@,11,1,2,2,1,10,@@,@@,@@@@,F
0,1,0,C1600001887,2,10000,1,10000,@@,2,@@,0,60000,@@,1,90913,1,90913,@@,71,1,2,2,1,@@,@@,@@,2005,F
0,0,0,C1600001952,1,90305,1,90305,@@,2,@@,0,59901,@@,1,79999,1,79999,10,&&,1,2,2,3,@@,@@,10,@@@@,F
0,1,0,C1600001961,1,@@,0,90900,@@,1,40101,1,40101,@@,1,@@,0,80311,@@,71,2,2,2,1,@@,@@,@@,@@@@,F
1,0,0,C1600001978,2,90101,1,90101,@@,1,70105,1,70105,@@,1,@@,0,80300,10,11,1,2,2,1,@@,@@,10,2014,F
0,0,0,C1600001980,2,@@,0,60101,10,2,60301,1,60301,@@,1,31101,1,31101,@@,11,2,2,2,1,@@,@@,@@,@@@@,M
1,0,0,C1600002012,1,0,1,0,10,1,@@,0,19999,@@,1,39999,1,39999,@@,11,1,3,2,1,10,@@,@@,@@@@,F
0,1,1,C1600002046,2,0,1,0,@@,1,@@,0,100700,@@,1,@@,0,30303,@@,11,1,2,2,1,@@,@@,@@,@@@@,F
1,0,1,C1600002055,0,61307,1,61307,10,2,40100,1,40100,@@,1,60901,1,60901,@@,11,1,2,2,3,10,@@,@@,@@@@,M
0,1,1,C1600002068,1,@@,0,10913,@@,1,10101,1,10101,@@,1,@@,0,70301,11,32,2,2,2,1,@@,@@,@@,@@@@,F
0,0,0,C1600002081,1,80300,1,80300,@@,1,91501,1,91501,10,2,100700,1,100700,13,11,1,2,2,3,@@,10,13,@@@@,M
0,0,0,C1600002119,0,@@,0,80505,50,1,@@,0,19999,@@,2,@@,0,90300,@@,11,1,3,2,3,@@,@@,@@,@@@@,M
0,0,0,C1600002122,2,@@,0,10000,10,1,@@,0,40100,10,1,0,1,0,10,11,1,3,2,1,@@,@@,@@,@@@@,M
1,1,0,C1600002131,0,@@,0,39900,@@,1,@@,0,81100,@@,1,70115,1,70115,@@,11,1,2,2,3,@@,@@,@@,@@@@,M
1,1,0,C1600002135,1,@@,0,80301,@@,1,@@,0,91105,@@,2,@@,0,61701,@@,11,1,2,2,1,@@,@@,@@,@@@@,M
0,1,1,C1600002172,2,30000,1,30000,@@,2,@@,0,90701,@@,1,@@,0,90300,@@,11,2,2,2,1,@@,@@,@@,@@@@,M
0,1,0,C1600002176,1,@@,0,31300,@@,0,@@,0,69903,10,2,@@,0,60300,@@,11,1,2,2,1,@@,@@,@@,1992,M
0,0,1,C1600002186,1,80000,1,80000,@@,2,@@,0,91901,@@,2,61300,1,61300,@@,11,1,3,2,1,@@,@@,@@,@@@@,M
1,1,1,C1600002203,1,@@,0,19901,10,2,@@,0,70199,@@,1,@@,0,19900,@@,11,1,3,2,1,@@,@@,@@,@@@@,F
0,0,0,C1600002204,1,100101,1,100101,60,1,0,1,0,2,1,100301,1,100301,@@,23,1,2,2,1,60,2,@@,@@@@,M
1,1,0,C1600002229,1,@@,0,100199,@@,1,60301,1,60301,6,1,80315,1,80315,@@,11,1,2,2,1,@@,@@,@@,@@@@,F
0,0,0,C1600002233,1,@@,0,0,10,1,@@,0,61101,10,1,@@,0,19999,10,11,1,2,2,3,@@,@@,@@,1988,M
0,0,0,C1600002244,1,70105,1,70105,@@,1,19901,1,19901,@@,1,@@,0,90900,10,11,1,3,2,1,@@,@@,10,@@@@,F
0,0,0,C1600002271,1,70115,1,70115,10,2,@@,0,60199,10,2,70101,1,70101,10,11,1,2,2,1,10,10,10,@@@@,F
0,0,0,C1600002275,2,0,1,0,10,2,90000,1,90000,@@,2,90900,1,90900,@@,11,1,2,2,1,10,@@,@@,@@@@,F
1,0,1,C1600002296,1,90999,1,90999,@@,1,39999,1,39999,10,2,@@,0,100500,@@,11,1,2,2,3,@@,10,@@,2005,F
1,1,0,C1600002301,1,80399,1,80399,10,2,80503,1,80503,@@,2,80301,1,80301,@@,11,1,2,2,1,10,@@,@@,@@@@,F
1,0,1,C1600002308,1,@@,0,99999,@@,1,@@,0,10000,@@,2,60501,1,60501,10,21,1,2,2,1,@@,@@,@@,@@@@,F
0,0,1,C1600002309,1,0,1,0,10,1,@@,0,80505,@@,1,10301,1,10301,10,11,1,2,2,1,10,@@,10,@@@@,M
0,0,1,C1600002366,2,30900,1,30900,@@,1,@@,0,80101,9,1,90000,1,90000,10,11,1,3,2,1,@@,9,10,@@@@,M
0,1,0,C1600002374,2,60300,1,60300,@@,1,@@,0,10000,@@,1,69903,1,69903,@@,11,1,3,2,1,@@,@@,@@,@@@@,M
1,0,0,C1600002381,1,@@,0,80101,@@,1,@@,0,19901,10,2,@@,0,60000,@@,11,1,1,2,1,@@,@@,@@,@@@@,M
0,0,0,C1600002421,1,@@,0,31501,@@,2,60701,1,60701,@@,1,@@,0,0,@@,92,1,3,2,1,@@,@@,@@,@@@@,M
1,0,0,C1600002439,0,@@,0,70100,10,1,@@,0,90701,8,2,@@,0,30701,@@,11,2,2,2,1,@@,@@,@@,@@@@,F
