stid,hisei,hisced,famstruc,sex,hlang,wealth,m2m_p,m2m_s,wkp2019,hsl2019,hel2019,fts2019,sa3,brthplace_aust_2011_ce_p,brthplace_elsewhere_2011_ce_p,lsh_eng_only_2011_ce_p,lsh_oth_lan_2011_ce_p,med_tot_hh_inc_wee_c2011,average_hh_size_c2011,lfs_unem_lfw_c11_m,lfs_tot_lforc_c11_m,n_lforc_c11_m
1,44,5 ISCED 5B - TAFE Diploma,2 Nuclear family,2 Male,1 Language of test,.71,"1 No, never","1 No, never",1531.24,1 Year 12,BA,3 Not studying,40401,69485,28032,70484,27866,1015,2.4,1601,26291,13254
2,25,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,1.33,"1 No, never","1 No, never",1064.4,1 Year 12,BA,3 Not studying,21201,58779,12259,66350,5205,1303,2.8,822,20581,6019
3,50,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1,"2 Yes, once","2 Yes, once",,1 Year 12,BA,3 Not studying,11601,70172,49124,71582,48633,1306,2.9,2168,33459,12593
4,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.46,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,10703,66176,14064,73426,7625,1152,2.7,1241,20900,9941
5,88,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.33,"1 No, never","1 No, never",874.24,1 Year 12,Post-grad,3 Not studying,21305,100761,56396,106469,50848,1410,2.9,2572,46433,13006
6,77,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.78,"1 No, never","1 No, never",495.21,1 Year 12,BA,2 Part-time,30403,30097,14623,35569,9294,1594,2.5,969,13137,5405
7,23,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,2 Another language,.71,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,51104,42680,7418,47346,2873,1128,2.5,760,14779,5378
8,88,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,1 Female,1 Language of test,1.01,"1 No, never","1 No, never",,2 Year 11,BA,3 Not studying,30503,53503,18002,62044,9727,1721,2.3,1088,23468,5927
9,43,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,1 Language of test,3.45,"1 No, never","2 Yes, once",,3 Year 10,Cert III/IV/Dip,3 Not studying,10703,66176,14064,73426,7625,1152,2.7,1241,20900,9941
10,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.7,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,12802,84679,17648,91667,11261,1812,2.9,1084,30510,9110
